databundelcode;criteria;grootheid_code;typering_code;groep;biotaxon_of_niet;organisme_naam;hoedanigheid_code;monstercompartiment_code;orgaan_code;eenheid_code;bemonsteringsapparaat_omschrijving;locatiecode;waardebewerkingsmethode_code;leverdatum;startdatum;einddatum;aantal;limiet
RWS_2023_06 P_N_sal_chlor;D5C2;CONCTTE;;CHLFa;ChemischeStof;;NVT;OW;;ug/l;"Roset sampler;Pomp;NVT";"TERSLG100;TERSLG135;ROTTMPT50;ROTTMPT70;GOERE2;GOERE6;SCHOUWN10;WALCRN2;WALCRN20;WALCRN70";NVT;15-9-2024;1-12-2022;30-9-2023;7;=
RWS_2023_06 P_N_sal_chlor;D5C2;CONCTTE;;CHLFa;ChemischeStof;;NVT;OW;;ug/l;"Roset sampler;Pomp;NVT";"TERSLG175;TERSLG235";NVT;15-9-2024;1-12-2022;30-9-2023;3;=
RWS_2023_12_O2_T_sal_3_dieptes;D5C5;VERZDGGD;;O2;ChemischeStof;;;OW;;%;"Roset sampler;Pomp";"TERSLG100;TERSLG135";NVT;15-9-2024;1-3-2023;30-9-2023;12;>=
RWS_2023_12_O2_T_sal_3_dieptes;D5C5;T;;T;Grootheid;;;OW;;oC;"Roset sampler;Pomp";"TERSLG100;TERSLG135";NVT;15-9-2024;1-3-2023;30-9-2023;12;>=
RWS_2023_12_O2_T_sal_3_dieptes;D5C5;SALNTT;;SALNTT;Grootheid;;;OW;;g/kg;"Roset sampler;Pomp";"TERSLG100;TERSLG135";NVT;15-9-2024;1-3-2023;30-9-2023;12;>=
RWS_2023_12_O2_T_sal_3_dieptes;D5C5;VERZDGGD;;O2;ChemischeStof;;;OW;;%;"Roset sampler;Pomp";"TERSLG175;TERSLG235";NVT;15-9-2024;1-3-2023;30-9-2023;4;=
RWS_2023_12_O2_T_sal_3_dieptes;D5C5;T;;T;Grootheid;;;OW;;oC;"Roset sampler;Pomp";"TERSLG175;TERSLG235";NVT;15-9-2024;1-3-2023;30-9-2023;4;=
RWS_2023_12_O2_T_sal_3_dieptes;D5C5;SALNTT;;SALNTT;Grootheid;;;OW;;g/kg;"Roset sampler;Pomp";"TERSLG175;TERSLG235";NVT;15-9-2024;1-3-2023;30-9-2023;4;=
RWS_2023_08 contam en eff in mar slak;D8C2;RPSI;;Nucella lapillus;J;Nucella lapillus;;OE;NVT;%;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";GEM;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;;IMPSSDUM;;Typering;Nucella lapillus;;OE;VS;DIMSLS;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;MASSFTE;;organotin;ChemischeStof;Nucella lapillus;;OE;VS;ug/kg;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;MASSFTE;;DS;Grootheid;Nucella lapillus;;OE;VS;%;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;RPSI;;Nassarius reticulatus;J;Nassarius reticulatus;;OE;NVT;%;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";GEM;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;;IMPSSDUM;;Typering;Nassarius reticulatus;;OE;VS;DIMSLS;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;MASSFTE;;organotin;ChemischeStof;Nassarius reticulatus;;OE;VS;ug/kg;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_08 contam en eff in mar slak;D8C2;MASSFTE;;DS;Grootheid;Nassarius reticulatus;;OE;VS;%;"Bodemschaaf;Handmatig";"HOLLSKZNND;HOLLSKZNMDN;HOLLSKZNZD;HARVKZNE;GREVLGKZNE;OOSTSDKZNE;WESTSDKZNE";;15-9-2024;16-2-2023;31-7-2023;1;=
RWS_2023_11 plastic in stormvogels;D10C3;MASSA;;OSPAR_PLAIND;Object;Fulmarus glacialis;NVT;OE;MG;g;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;MASSA;;OSPAR_PLATOT;Object;Fulmarus glacialis;NVT;OE;MG;g;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;MASSA;;OSPAR_PLAUSE;Object;Fulmarus glacialis;NVT;OE;MG;g;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;AANTL;;OSPAR_PLAIND;Object;Fulmarus glacialis;NVT;OE;MG;n;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;AANTL;;OSPAR_PLATOT;Object;Fulmarus glacialis;NVT;OE;MG;n;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;AANTL;;OSPAR_PLAUSE;Object;Fulmarus glacialis;NVT;OE;MG;n;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;;LEVSDM;;Typering;Fulmarus glacialis;NVT;OE;MG;DIMSLS;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_11 plastic in stormvogels;D10C3;;SEXE;;Typering;Fulmarus glacialis;NVT;OE;MG;DIMSLS;NVT;alle_stranden;NVT;15-9-2024;1-4-2021;31-12-2023;30;>=
RWS_2023_03c zwarte zee_eend;D1C2;AANTPOPVTE;;Melanitta nigra;J;;;NVT;;n/km2;NVT;"BRUINEBANK;FRIESEFR;NCP_vanaf_12mijl;TZ;BSTENEN;KUSTZONE_2020;NCP_vanaf_10km;COESTERGR;DOGGBANK;GASFONTEIN;KLAVERBANK;KUSTZEE;NZKUSTZONE;VLVDRAAN;VOORDELTA;ZBANKEN;Zee_Buiten_MPAs;HOLLANDSE_KUST";MODUS;15-9-2024;1-8-2022;31-8-2023;6; =
RWS_2023_03c zwarte zee_eend;D1C2;AANTPOPVTE;;Melanitta nigra;J;;;NVT;;n/km2;NVT;"BRUINEBANK;FRIESEFR;NCP_vanaf_12mijl;TZ;BSTENEN;KUSTZONE_2020;NCP_vanaf_10km;COESTERGR;DOGGBANK;GASFONTEIN;KLAVERBANK;KUSTZEE;NZKUSTZONE;VLVDRAAN;VOORDELTA;ZBANKEN;Zee_Buiten_MPAs;HOLLANDSE_KUST";P97.5;15-9-2024;1-8-2022;31-8-2023;6; =
RWS_2023_03c zwarte zee_eend;D1C2;AANTPOPVTE;;Melanitta nigra;J;;;NVT;;n/km2;NVT;"BRUINEBANK;FRIESEFR;NCP_vanaf_12mijl;TZ;BSTENEN;KUSTZONE_2020;NCP_vanaf_10km;COESTERGR;DOGGBANK;GASFONTEIN;KLAVERBANK;KUSTZEE;NZKUSTZONE;VLVDRAAN;VOORDELTA;ZBANKEN;Zee_Buiten_MPAs;HOLLANDSE_KUST";P02.5;15-9-2024;1-8-2022;31-8-2023;6; =
RWS_2023_03c zwarte zee_eend;D1C2;AANTL;;Melanitta nigra;J;;;NVT;;n;NVT;"BRUINEBANK;FRIESEFR;NCP_vanaf_12mijl;TZ;BSTENEN;KUSTZONE_2020;NCP_vanaf_10km;COESTERGR;DOGGBANK;GASFONTEIN;KLAVERBANK;KUSTZEE;NZKUSTZONE;VLVDRAAN;VOORDELTA;ZBANKEN;Zee_Buiten_MPAs;HOLLANDSE_KUST";MODUS;15-9-2024;1-8-2022;31-8-2023;6; =
RWS_2023_03c zwarte zee_eend;D1C2;AANTL;;Melanitta nigra;J;;;NVT;;n;NVT;"BRUINEBANK;FRIESEFR;NCP_vanaf_12mijl;TZ;BSTENEN;KUSTZONE_2020;NCP_vanaf_10km;COESTERGR;DOGGBANK;GASFONTEIN;KLAVERBANK;KUSTZEE;NZKUSTZONE;VLVDRAAN;VOORDELTA;ZBANKEN;Zee_Buiten_MPAs;HOLLANDSE_KUST";P97.5;15-9-2024;1-8-2022;31-8-2023;6; =
RWS_2023_03c zwarte zee_eend;D1C2;AANTL;;Melanitta nigra;J;;;NVT;;n;NVT;"BRUINEBANK;FRIESEFR;NCP_vanaf_12mijl;TZ;BSTENEN;KUSTZONE_2020;NCP_vanaf_10km;COESTERGR;DOGGBANK;GASFONTEIN;KLAVERBANK;KUSTZEE;NZKUSTZONE;VLVDRAAN;VOORDELTA;ZBANKEN;Zee_Buiten_MPAs;HOLLANDSE_KUST";P02.5;15-9-2024;1-8-2022;31-8-2023;6; =
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";AANTPOPVTE;;Noordzeebenthos;J;;NVT;BS;;n/m2;Perdon & Troost 2012. CVO rapport: 12.006;"VOORDELTA_L0209;VOORDELTA_L0176;VOORDELTA_L0204;VOORDELTA_L0163;VOORDELTA_L0172;VOORDELTA_L0138;VOORDELTA_L0146;VOORDELTA_L0190;VOORDELTA_L0194;VOORDELTA_L0183;VOORDELTA_L0208;VOORDELTA_L0149;VOORDELTA_L0214;VOORDELTA_L0148;VOORDELTA_L0201;VOORDELTA_L0193";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";AANTPOPVTE;;Noordzeebenthos;J;;NVT;BS;;n/m2;Perdon & Troost 2012. CVO rapport: 12.006;"VLVDRAAN_L0001;VLVDRAAN_L0002;VLVDRAAN_L0003;VLVDRAAN_L0004;VLVDRAAN_L0005;VLVDRAAN_L0006;VLVDRAAN_L0007;VLVDRAAN_L0008;VLVDRAAN_L0009;VLVDRAAN_L0010;VLVDRAAN_L0011;VLVDRAAN_L0012;VLVDRAAN_L0013;VLVDRAAN_L0014;VLVDRAAN_L0015;VLVDRAAN_L0016;VLVDRAAN_L0017;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";AANTPOPVTE;;Noordzeebenthos;J;;NVT;BS;;n/m2;Perdon & Troost 2012. CVO rapport: 12.006;"NZKUSTZONE_L0343;NZKUSTZONE_L0088;NZKUSTZONE_L0084;NZKUSTZONE_L0360;NZKUSTZONE_L0050;NZKUSTZONE_L0346;NZKUSTZONE_L0262;NZKUSTZONE_L0085;NZKUSTZONE_L0087;NZKUSTZONE_L0069;NZKUSTZONE_L0356;NZKUSTZONE_L0090;NZKUSTZONE_L0063;NZKUSTZONE_L0280;NZKUSTZONE_L0276;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";AANTPOPVTE;;Noordzeebenthos;J;;NVT;BS;;n/m2;Perdon & Troost 2012. CVO rapport: 12.006;"KUSTZONE_OV_L0352;KUSTZONE_OV_L0250;KUSTZONE_OV_L0291;KUSTZONE_OV_L0255;KUSTZONE_OV_L0246;KUSTZONE_OV_L0224;KUSTZONE_OV_L0329;KUSTZONE_OV_L0225;KUSTZONE_OV_L0324;KUSTZONE_OV_L0318;KUSTZONE_OV_L0223;KUSTZONE_OV_L0341;KUSTZONE_OV_L0308;KUSTZONE_OV_L0347;KUS";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";LENGTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"VOORDELTA_L0209;VOORDELTA_L0176;VOORDELTA_L0204;VOORDELTA_L0163;VOORDELTA_L0172;VOORDELTA_L0138;VOORDELTA_L0146;VOORDELTA_L0190;VOORDELTA_L0194;VOORDELTA_L0183;VOORDELTA_L0208;VOORDELTA_L0149;VOORDELTA_L0214;VOORDELTA_L0148;VOORDELTA_L0201;VOORDELTA_L0193";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";LENGTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"VLVDRAAN_L0001;VLVDRAAN_L0002;VLVDRAAN_L0003;VLVDRAAN_L0004;VLVDRAAN_L0005;VLVDRAAN_L0006;VLVDRAAN_L0007;VLVDRAAN_L0008;VLVDRAAN_L0009;VLVDRAAN_L0010;VLVDRAAN_L0011;VLVDRAAN_L0012;VLVDRAAN_L0013;VLVDRAAN_L0014;VLVDRAAN_L0015;VLVDRAAN_L0016;VLVDRAAN_L0017;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";LENGTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"NZKUSTZONE_L0343;NZKUSTZONE_L0088;NZKUSTZONE_L0084;NZKUSTZONE_L0360;NZKUSTZONE_L0050;NZKUSTZONE_L0346;NZKUSTZONE_L0262;NZKUSTZONE_L0085;NZKUSTZONE_L0087;NZKUSTZONE_L0069;NZKUSTZONE_L0356;NZKUSTZONE_L0090;NZKUSTZONE_L0063;NZKUSTZONE_L0280;NZKUSTZONE_L0276;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";LENGTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"KUSTZONE_OV_L0352;KUSTZONE_OV_L0250;KUSTZONE_OV_L0291;KUSTZONE_OV_L0255;KUSTZONE_OV_L0246;KUSTZONE_OV_L0224;KUSTZONE_OV_L0329;KUSTZONE_OV_L0225;KUSTZONE_OV_L0324;KUSTZONE_OV_L0318;KUSTZONE_OV_L0223;KUSTZONE_OV_L0341;KUSTZONE_OV_L0308;KUSTZONE_OV_L0347;KUS";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";BREEDTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"VOORDELTA_L0209;VOORDELTA_L0176;VOORDELTA_L0204;VOORDELTA_L0163;VOORDELTA_L0172;VOORDELTA_L0138;VOORDELTA_L0146;VOORDELTA_L0190;VOORDELTA_L0194;VOORDELTA_L0183;VOORDELTA_L0208;VOORDELTA_L0149;VOORDELTA_L0214;VOORDELTA_L0148;VOORDELTA_L0201;VOORDELTA_L0193";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";BREEDTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"VLVDRAAN_L0001;VLVDRAAN_L0002;VLVDRAAN_L0003;VLVDRAAN_L0004;VLVDRAAN_L0005;VLVDRAAN_L0006;VLVDRAAN_L0007;VLVDRAAN_L0008;VLVDRAAN_L0009;VLVDRAAN_L0010;VLVDRAAN_L0011;VLVDRAAN_L0012;VLVDRAAN_L0013;VLVDRAAN_L0014;VLVDRAAN_L0015;VLVDRAAN_L0016;VLVDRAAN_L0017;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";BREEDTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"NZKUSTZONE_L0343;NZKUSTZONE_L0088;NZKUSTZONE_L0084;NZKUSTZONE_L0360;NZKUSTZONE_L0050;NZKUSTZONE_L0346;NZKUSTZONE_L0262;NZKUSTZONE_L0085;NZKUSTZONE_L0087;NZKUSTZONE_L0069;NZKUSTZONE_L0356;NZKUSTZONE_L0090;NZKUSTZONE_L0063;NZKUSTZONE_L0280;NZKUSTZONE_L0276;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";BREEDTE;;Noordzeebenthos;J;;NVT;BS;;mm;Perdon & Troost 2012. CVO rapport: 12.006;"KUSTZONE_OV_L0352;KUSTZONE_OV_L0250;KUSTZONE_OV_L0291;KUSTZONE_OV_L0255;KUSTZONE_OV_L0246;KUSTZONE_OV_L0224;KUSTZONE_OV_L0329;KUSTZONE_OV_L0225;KUSTZONE_OV_L0324;KUSTZONE_OV_L0318;KUSTZONE_OV_L0223;KUSTZONE_OV_L0341;KUSTZONE_OV_L0308;KUSTZONE_OV_L0347;KUS";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";MASSPOPVTE;;Noordzeebenthos;J;;NVT;BS;;g/m2;Perdon & Troost 2012. CVO rapport: 12.006;"VOORDELTA_L0209;VOORDELTA_L0176;VOORDELTA_L0204;VOORDELTA_L0163;VOORDELTA_L0172;VOORDELTA_L0138;VOORDELTA_L0146;VOORDELTA_L0190;VOORDELTA_L0194;VOORDELTA_L0183;VOORDELTA_L0208;VOORDELTA_L0149;VOORDELTA_L0214;VOORDELTA_L0148;VOORDELTA_L0201;VOORDELTA_L0193";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";MASSPOPVTE;;Noordzeebenthos;J;;NVT;BS;;g/m2;Perdon & Troost 2012. CVO rapport: 12.006;"VLVDRAAN_L0001;VLVDRAAN_L0002;VLVDRAAN_L0003;VLVDRAAN_L0004;VLVDRAAN_L0005;VLVDRAAN_L0006;VLVDRAAN_L0007;VLVDRAAN_L0008;VLVDRAAN_L0009;VLVDRAAN_L0010;VLVDRAAN_L0011;VLVDRAAN_L0012;VLVDRAAN_L0013;VLVDRAAN_L0014;VLVDRAAN_L0015;VLVDRAAN_L0016;VLVDRAAN_L0017;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";MASSPOPVTE;;Noordzeebenthos;J;;NVT;BS;;g/m2;Perdon & Troost 2012. CVO rapport: 12.006;"NZKUSTZONE_L0343;NZKUSTZONE_L0088;NZKUSTZONE_L0084;NZKUSTZONE_L0360;NZKUSTZONE_L0050;NZKUSTZONE_L0346;NZKUSTZONE_L0262;NZKUSTZONE_L0085;NZKUSTZONE_L0087;NZKUSTZONE_L0069;NZKUSTZONE_L0356;NZKUSTZONE_L0090;NZKUSTZONE_L0063;NZKUSTZONE_L0280;NZKUSTZONE_L0276;";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";MASSPOPVTE;;Noordzeebenthos;J;;NVT;BS;;g/m2;Perdon & Troost 2012. CVO rapport: 12.006;"KUSTZONE_OV_L0352;KUSTZONE_OV_L0250;KUSTZONE_OV_L0291;KUSTZONE_OV_L0255;KUSTZONE_OV_L0246;KUSTZONE_OV_L0224;KUSTZONE_OV_L0329;KUSTZONE_OV_L0225;KUSTZONE_OV_L0324;KUSTZONE_OV_L0318;KUSTZONE_OV_L0223;KUSTZONE_OV_L0341;KUSTZONE_OV_L0308;KUSTZONE_OV_L0347;KUS";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_01 Noordzeebenthos;"D6C3;D6C5";BEMSROPVK;;BEMSROPVK;Grootheid;;NVT;BS;;m2;Perdon & Troost 2012. CVO rapport: 12.006;"KUSTZONE_OV_L0207;KUSTZONE_OV_L0219;KUSTZONE_OV_L0220;KUSTZONE_OV_L0221;KUSTZONE_OV_L0222;KUSTZONE_OV_L0223;KUSTZONE_OV_L0224;KUSTZONE_OV_L0225;KUSTZONE_OV_L0226;KUSTZONE_OV_L0227;KUSTZONE_OV_L0228;KUSTZONE_OV_L0229;KUSTZONE_OV_L0230;KUSTZONE_OV_L0231;KUS";;2022-09-15;2021-03-15;2021-07-15;1;>=
WMR_2021_02b zeehond;"D1C2;D1C3;D1C4;D1C5";AANTL;;zeehonden;J;;LS-AD;OR;;n;Aerial surveys of Harbour Seals in the Wadden Sea in 2021;Waddengebied;;2022-09-15;2021-01-01;2021-12-31;49;<=
WMR_2021_02b zeehond;"D1C2;D1C3;D1C4;D1C5";AANTL;;zeehonden;J;;LS-JU;OR;;n;Aerial surveys of Harbour Seals in the Wadden Sea in 2021;Waddengebied;;2022-09-15;2021-01-01;2021-12-31;49;<=
